School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Amherst-Pelham: Amherst Regional Middle School,06050405,Public School,Amherst,MA,01002,"07,08",Amherst-Pelham,06050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     221,     250,       0,       0,       0,       0,0.0,     471,      52,  11.0,      19,   4.0,     109,  23.1,     119,  25.3, , , , ,   7.0,   7.9,  14.4,  62.0,   0.0,   0.0,   8.7,  51.2,  48.8,     281,15.1,        471,47.6,99.2,     186,87.1,9.9,"      $9,935,681","  $75,213",    132.1,"          $27,997,451.00","           1,572.9","              $17,799.89","          $30,654,356.00","           1,711.0","              $17,916.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Andover High,00090505,Public School,Andover,MA,01810,"09,10,11,12",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     460,     470,     440,     432,0.0,"   1,802",     129,   7.2,      10,   0.6,     243,  13.5,     118,   6.5, , , , ,   1.9,  10.1,   3.4,  82.3,   0.1,   0.0,   2.2,  50.4,  49.6,     489,17.5,"      1,805",120.3,98.3,     757,99.5,15.0,"     $33,824,063","  $77,136",    438.5,"          $78,813,664.55","           6,264.1","              $12,581.80","          $87,066,259.55","           6,356.4","              $13,697.42",       442,96.8,0.9,0.5,0.9,0.9,0.0,"   1,802",14.0,0.8,430.0,383.0,89.1,0.2673,45.6192,7.6625999999999985,35.5509,7.484399999999999,2.0492999999999997,17.196299999999997,81.17009999999999,430.0,430.0,100.0,432.0,     758,227.0,123.0,48.0,29.0,5.0,44.0,99.0,219.0,188.0,208.0,18.9,81.1,426.0,560.0,589.0
Andover: Andover West Middle,00090310,Public School,Andover,MA,01810,"06,07,08",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,     189,     177,     177,       0,       0,       0,       0,0.0,     543,      52,   9.6,       7,   1.3,      74,  13.6,      28,   5.2, , , , ,   1.5,  12.7,   3.1,  79.4,   0.6,   0.0,   2.8,  52.5,  47.5,     193,21.5,        541,42.8,100.0,     171,100.0,12.7,"     $33,824,063","  $77,136",    438.5,"          $78,813,664.55","           6,264.1","              $12,581.80","          $87,066,259.55","           6,356.4","              $13,697.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Bancroft Elementary,00090003,Public School,Andover,MA,01810,"K,01,02,03,04,05",Andover,00090000,Public School District,       0,      80,      62,      87,      89,      85,      80,       0,       0,       0,       0,       0,       0,       0,0.0,     483,      30,   6.2,       8,   1.7,      67,  13.9,      27,   5.6, , , , ,   0.8,   6.8,   5.0,  82.2,   0.4,   0.0,   4.8,  49.1,  50.9,     180,21.2,        484,33.1,100.0,     134,100.0,14.6,"     $33,824,063","  $77,136",    438.5,"          $78,813,664.55","           6,264.1","              $12,581.80","          $87,066,259.55","           6,356.4","              $13,697.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Doherty Middle,00090305,Public School,Andover,MA,01810,"06,07,08",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,     198,     197,     168,       0,       0,       0,       0,0.0,     563,      28,   5.0,       3,   0.5,      96,  17.1,      34,   6.0, , , , ,   1.4,   7.1,   2.3,  86.9,   0.0,   0.0,   2.3,  49.2,  50.8,     136,31.7,        568,43.9,100.0,      88,100.0,12.8,"     $33,824,063","  $77,136",    438.5,"          $78,813,664.55","           6,264.1","              $12,581.80","          $87,066,259.55","           6,356.4","              $13,697.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Henry C Sanborn Elementary,00090010,Public School,Andover,MA,01810,"K,01,02,03,04,05",Andover,00090000,Public School District,       0,      45,      54,      59,      60,      62,      66,       0,       0,       0,       0,       0,       0,       0,0.0,     346,      23,   6.6,      12,   3.5,      43,  12.4,       8,   2.3, , , , ,   1.2,  12.4,   1.2,  83.2,   1.2,   0.0,   0.9,  50.0,  50.0,     141,19.5,        346,22.1,100.0,     105,100.0,15.7,"     $33,824,063","  $77,136",    438.5,"          $78,813,664.55","           6,264.1","              $12,581.80","          $87,066,259.55","           6,356.4","              $13,697.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: High Plain Elementary,00090004,Public School,Andover,MA,01810,"K,01,02,03,04,05",Andover,00090000,Public School District,       0,      65,      85,      93,      97,      95,      92,       0,       0,       0,       0,       0,       0,       0,0.0,     527,      94,  17.8,      20,   3.8,      95,  18.0,      39,   7.4, , , , ,   0.8,  23.1,   6.1,  67.6,   0.2,   0.0,   2.3,  51.6,  48.4,     188,22.3,        527,38.9,100.0,     140,100.0,13.6,"     $33,824,063","  $77,136",    438.5,"          $78,813,664.55","           6,264.1","              $12,581.80","          $87,066,259.55","           6,356.4","              $13,697.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Shawsheen School,00090005,Public School,Andover,MA,01810,PK,Andover,00090000,Public School District,      63,      79,      57,      68,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     267,      10,   3.7,       1,   0.4,      72,  27.0,      11,   4.1, , , , ,   4.5,   9.0,   2.6,  80.1,   0.0,   0.0,   3.7,  57.7,  42.3,      84,19.9,        267,19.5,98.8,      80,100.0,13.7,"     $33,824,063","  $77,136",    438.5,"          $78,813,664.55","           6,264.1","              $12,581.80","          $87,066,259.55","           6,356.4","              $13,697.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: South Elementary,00090020,Public School,Andover,MA,01810,"K,01,02,03,04,05",Andover,00090000,Public School District,       0,      86,      93,      82,      99,     116,      97,       0,       0,       0,       0,       0,       0,       0,0.0,     573,      32,   5.6,      14,   2.4,      62,  10.8,      18,   3.1, , , , ,   0.3,   9.8,   1.4,  87.1,   0.3,   0.2,   0.9,  50.8,  49.2,     196,23.2,        573,36.3,99.2,     146,100.0,15.8,"     $33,824,063","  $77,136",    438.5,"          $78,813,664.55","           6,264.1","              $12,581.80","          $87,066,259.55","           6,356.4","              $13,697.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: West Elementary,00090025,Public School,Andover,MA,01810,"K,01,02,03,04,05",Andover,00090000,Public School District,       3,      80,      75,      89,     152,     135,     137,       0,       0,       0,       0,       0,       0,       0,0.0,     671,      73,  10.9,      10,   1.5,     104,  15.5,      49,   7.3, , , , ,   1.6,  12.5,   3.4,  79.6,   0.1,   0.0,   2.7,  48.7,  51.3,     229,23.1,        671,43.8,98.9,     175,100.0,15.3,"     $33,824,063","  $77,136",    438.5,"          $78,813,664.55","           6,264.1","              $12,581.80","          $87,066,259.55","           6,356.4","              $13,697.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Wood Hill Middle School,00090350,Public School,Andover,MA,01810,"06,07,08",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,     133,     133,     137,       0,       0,       0,       0,0.0,     403,      55,  13.6,       1,   0.2,      73,  18.1,      32,   7.9, , , , ,   0.5,  15.6,   6.9,  75.2,   0.0,   0.0,   1.7,  52.1,  47.9,     114,26.1,        402,37.9,94.7,     110,96.4,10.6,"     $33,824,063","  $77,136",    438.5,"          $78,813,664.55","           6,264.1","              $12,581.80","          $87,066,259.55","           6,356.4","              $13,697.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argosy Collegiate Charter School (District): Argosy Collegiate Charter School,35090305,Charter School,Fall River,MA,02724,"06,07,08,09,10,11,12",Argosy Collegiate Charter School (District),35090000,Charter District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington: Arlington High,00100505,Public School,Arlington,MA,02476,"09,10,11,12",Arlington,00100000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     297,     318,     286,     295,0.0,"   1,196",     110,   9.2,      23,   1.9,     156,  13.0,     144,  12.0, , , , ,   4.4,   8.2,   4.2,  80.9,   0.3,   0.0,   2.1,  48.3,  51.7,     576,16.2,"      1,189",76.0,97.4,     395,96.2,15.7,"     $17,536,715","  $55,373",    316.7,"          $52,891,819.63","           4,440.8","              $11,910.43","          $58,967,075.75","           4,556.2","              $12,942.16",       304,95.4,1.6,0.0,0.3,2.6,0.0,"   1,196",12.0,1.0,293.0,236.0,80.5,0.0,41.296499999999995,12.960500000000001,26.243000000000002,12.960500000000001,3.3810000000000002,11.592,67.5395,293.0,230.0,78.5,250.0,     436,118.0,95.0,25.0,8.0,4.0,35.0,38.0,100.0,122.0,141.0,16.7,83.3,268.0,554.0,560.0
Arlington: Brackett,00100010,Public School,Arlington,MA,02476,"K,01,02,03,04,05",Arlington,00100000,Public School District,       0,      84,      67,      80,      64,      76,      73,       0,       0,       0,       0,       0,       0,       0,0.0,     444,      41,   9.2,      16,   3.6,      41,   9.2,      13,   2.9, , , , ,   1.1,   6.5,   3.6,  83.3,   0.0,   0.0,   5.4,  51.6,  48.4,      76,23.2,        440,25.9,100.0,     136,100.0,17.1,"     $17,536,715","  $55,373",    316.7,"          $52,891,819.63","           4,440.8","              $11,910.43","          $58,967,075.75","           4,556.2","              $12,942.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington: Cyrus E Dallin,00100025,Public School,Arlington,MA,02476,"K,01,02,03,04,05",Arlington,00100000,Public School District,       0,      86,      74,      70,      63,      67,      64,       0,       0,       0,       0,       0,       0,       0,0.0,     424,      24,   5.7,       9,   2.1,      44,  10.4,      20,   4.7, , , , ,   1.7,   8.3,   3.5,  81.1,   0.0,   0.0,   5.4,  45.8,  54.2,      92,18.5,        425,25.3,100.0,     141,100.0,16.7,"     $17,536,715","  $55,373",    316.7,"          $52,891,819.63","           4,440.8","              $11,910.43","          $58,967,075.75","           4,556.2","              $12,942.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington: Gibbs School,00100305,Public School,Arlington,MA,02474,6,Arlington,00100000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $17,536,715","  $55,373",    316.7,"          $52,891,819.63","           4,440.8","              $11,910.43","          $58,967,075.75","           4,556.2","              $12,942.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington: Hardy,00100030,Public School,Arlington,MA,02474,"K,01,02,03,04,05",Arlington,00100000,Public School District,       0,      42,      65,      57,      69,      56,      40,       0,       0,       0,       0,       0,       0,       0,0.0,     329,      71,  21.6,      45,  13.7,      26,   7.9,      33,  10.0, , , , ,   4.0,  18.8,   6.1,  66.9,   0.0,   0.3,   4.0,  48.0,  52.0,      60,21.9,        328,21.0,100.0,     101,100.0,15.7,"     $17,536,715","  $55,373",    316.7,"          $52,891,819.63","           4,440.8","              $11,910.43","          $58,967,075.75","           4,556.2","              $12,942.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington: John A Bishop,00100005,Public School,Arlington,MA,02474,"K,01,02,03,04,05",Arlington,00100000,Public School District,       0,      68,      55,      72,      64,      60,      44,       0,       0,       0,       0,       0,       0,       0,0.0,     363,      37,  10.2,      14,   3.9,      23,   6.3,      14,   3.9, , , , ,   4.7,   8.3,   3.6,  82.9,   0.0,   0.0,   0.6,  51.5,  48.5,      68,21.3,        363,24.2,100.0,     119,100.0,15.0,"     $17,536,715","  $55,373",    316.7,"          $52,891,819.63","           4,440.8","              $11,910.43","          $58,967,075.75","           4,556.2","              $12,942.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington: M Norcross Stratton,00100055,Public School,Arlington,MA,02474,"K,01,02,03,04,05",Arlington,00100000,Public School District,       0,      59,      69,      62,      43,      58,      52,       0,       0,       0,       0,       0,       0,       0,0.0,     343,      44,  12.8,      22,   6.4,      51,  14.9,      27,   7.9, , , , ,   3.5,  10.5,   4.7,  76.7,   0.0,   0.0,   4.7,  55.7,  44.3,      69,19.8,        342,22.4,100.0,     104,100.0,15.3,"     $17,536,715","  $55,373",    316.7,"          $52,891,819.63","           4,440.8","              $11,910.43","          $58,967,075.75","           4,556.2","              $12,942.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington: Menotomy Preschool,00100038,Public School,Arlington,MA,02476,PK,Arlington,00100000,Public School District,      57,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,      57,       1,   1.8,       0,   0.0,      23,  40.4,       2,   3.5, , , , ,   5.3,   5.3,   8.8,  78.9,   0.0,   0.0,   1.8,  54.4,  45.6,       3,18.0,         54,6.0,100.0,      15,100.0,9.5,"     $17,536,715","  $55,373",    316.7,"          $52,891,819.63","           4,440.8","              $11,910.43","          $58,967,075.75","           4,556.2","              $12,942.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington: Ottoson Middle,00100410,Public School,Arlington,MA,02476,"07,08",Arlington,00100000,Public School District,       0,       0,       0,       0,       0,       0,       0,     344,     347,     360,       0,       0,       0,       0,0.0,"   1,051",     119,  11.3,      33,   3.1,     181,  17.2,     132,  12.6, , , , ,   3.5,   8.7,   5.3,  79.9,   0.1,   0.1,   2.4,  52.0,  48.0,     553,22.2,"      1,049",74.5,94.7,     341,96.2,14.1,"     $17,536,715","  $55,373",    316.7,"          $52,891,819.63","           4,440.8","              $11,910.43","          $58,967,075.75","           4,556.2","              $12,942.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington: Peirce,00100045,Public School,Arlington,MA,02474,"K,01,02,03,04,05",Arlington,00100000,Public School District,       0,      44,      50,      47,      40,      47,      38,       0,       0,       0,       0,       0,       0,       0,0.0,     266,      42,  15.8,      23,   8.6,      44,  16.5,      49,  18.4, , , , ,   4.1,   9.4,   6.8,  72.9,   0.0,   0.4,   6.4,  50.0,  50.0,      48,22.1,        265,20.5,100.0,      80,100.0,13.0,"     $17,536,715","  $55,373",    316.7,"          $52,891,819.63","           4,440.8","              $11,910.43","          $58,967,075.75","           4,556.2","              $12,942.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington: Thompson,00100050,Public School,Arlington,MA,02474,"K,01,02,03,04,05",Arlington,00100000,Public School District,       0,      65,      61,      45,      52,      63,      49,       0,       0,       0,       0,       0,       0,       0,0.0,     335,      88,  26.3,      55,  16.4,      30,   9.0,     102,  30.4, , , , ,   4.5,  16.7,   8.7,  65.7,   0.0,   0.3,   4.2,  47.8,  52.2,      60,22.3,        335,20.7,100.0,     105,100.0,16.2,"     $17,536,715","  $55,373",    316.7,"          $52,891,819.63","           4,440.8","              $11,910.43","          $58,967,075.75","           4,556.2","              $12,942.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashburnham-Westminster: Briggs Elementary,06100025,Public School,Ashburnham,MA,01430,"PK,K,01,02,03,04,05",Ashburnham-Westminster,06100000,Public School District,       0,      77,      74,      74,      70,      67,      83,       0,       0,       0,       0,       0,       0,       0,0.0,     445,       5,   1.1,       5,   1.1,      80,  18.0,      99,  22.2, , , , ,   0.7,   0.7,   2.9,  94.2,   0.0,   0.0,   1.6,  48.8,  51.2,     199,19.8,        441,29.5,98.3,     128,80.5,15.1,"     $10,165,821","  $68,642",    148.1,"          $25,298,975.47","           2,316.5","              $10,921.21","          $27,936,429.34","           2,404.4","              $11,618.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashburnham-Westminster: Meetinghouse School,06100010,Public School,Westminster,MA,01473,"PK,K,01",Ashburnham-Westminster,06100000,Public School District,      47,      90,      71,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     208,       3,   1.4,       3,   1.4,      49,  23.6,      20,   9.6, , , , ,   0.5,   2.9,   1.9,  91.8,   0.0,   0.0,   2.9,  54.3,  45.7,      61,21.5,        206,11.4,100.0,      47,95.7,18.2,"     $10,165,821","  $68,642",    148.1,"          $25,298,975.47","           2,316.5","              $10,921.21","          $27,936,429.34","           2,404.4","              $11,618.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashburnham-Westminster: Oakmont Regional High School,06100505,Public School,Ashburnham,MA,01430,"09,10,11,12",Ashburnham-Westminster,06100000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     150,     164,     190,     173,8.0,     685,       7,   1.0,       7,   1.0,      80,  11.7,     112,  16.4, , , , ,   1.5,   1.0,   3.5,  92.1,   0.3,   0.1,   1.5,  50.9,  49.1,     208,17.3,        673,45.7,97.8,     246,96.7,15.0,"     $10,165,821","  $68,642",    148.1,"          $25,298,975.47","           2,316.5","              $10,921.21","          $27,936,429.34","           2,404.4","              $11,618.88",       181,91.7,3.3,0.0,0.6,3.9,0.6,     677,8.0,1.2,168.0,140.0,83.3,0.0,22.574299999999997,23.823800000000002,36.9019,23.823800000000002,20.825,9.4962,59.47619999999999,168.0,123.0,73.2,77.0,     103,58.0,13.0,5.0,1.0,0.0,0.0,17.0,38.0,28.0,20.0,16.5,83.5,142.0,516.0,528.0
Ashburnham-Westminster: Overlook Middle School,06100305,Public School,Ashburnham,MA,01430,"06,07,08",Ashburnham-Westminster,06100000,Public School District,       0,       0,       0,       0,       0,       0,       0,     196,     202,     198,       0,       0,       0,       0,0.0,     596,       3,   0.5,       3,   0.5,      91,  15.3,     139,  23.3, , , , ,   0.7,   1.0,   4.7,  90.8,   0.2,   0.0,   2.7,  49.7,  50.3,     228,18.7,        597,37.5,98.4,     321,96.6,15.9,"     $10,165,821","  $68,642",    148.1,"          $25,298,975.47","           2,316.5","              $10,921.21","          $27,936,429.34","           2,404.4","              $11,618.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashburnham-Westminster: Westminster Elementary,06100005,Public School,Westminster,MA,01473,"02,03,04,05",Ashburnham-Westminster,06100000,Public School District,       0,       0,       0,     108,      93,      94,     108,       0,       0,       0,       0,       0,       0,       0,0.0,     403,       3,   0.7,       3,   0.7,      74,  18.4,      70,  17.4, , , , ,   0.7,   1.7,   2.7,  93.8,   0.0,   0.0,   1.0,  51.6,  48.4,     153,23.6,        402,24.0,100.0,     120,100.0,16.8,"     $10,165,821","  $68,642",    148.1,"          $25,298,975.47","           2,316.5","              $10,921.21","          $27,936,429.34","           2,404.4","              $11,618.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
