School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Overall Classification,Reason for Classification,Accountability Percentile (1-99),Cumulative Progress Toward Improvement Targets (%)
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      58,      70,      85,      60,      75,       0,       0,       0,       0,       0,       0,       0,       0,       0,     348,      65,  18.7,      28,   8.0,      36,  10.3, , ,     140,  40.2,     104,  29.9,1.7,2.3,4.6,88.5,0.0,0.0,2.9,58.0,42.0,     233,15.9,        348,29.0,100.0,12.0,93.1,98.3,96.7,"     $25,584,999","  $79,828",    320.5,40.0,40.0,100.0,  17.5,  82.5,   0.0,   0.0,"          $63,234,829.14","           3,710.3","              $17,043.05","          $69,007,740.22","           3,868.8","              $17,836.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          67,51.0,           6,5.0,          61,46.0,          58,44.0,           7,5.0,         132,501.8,42.8,          74,47.0,          75,57.0,          13,10.0,          62,47.0,          50,38.0,           7,5.0,         132,503.2,36.7,          74,64.0,Not requiring assistance or intervention,Substantial progress toward targets,59.0,56.0
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      39,      39,      67,      48,      65,       0,       0,       0,       0,       0,       0,       0,       0,       0,     258,      32,  12.4,      28,  10.9,      56,  21.7, , ,     130,  50.4,      93,  36.0,1.9,2.7,14.7,78.7,0.0,0.4,1.6,50.4,49.6,     139,19.5,        254,22.3,100.0,11.6,89.7,100.0,100.0,"     $25,584,999","  $79,828",    320.5,32.0,32.0,100.0,   9.4,  90.6,   0.0,   0.0,"          $63,234,829.14","           3,710.3","              $17,043.05","          $69,007,740.22","           3,868.8","              $17,836.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          52,48.0,           4,4.0,          48,44.0,          46,43.0,          10,9.0,         108,500.2,49.8,          62,41.0,          63,58.0,           4,4.0,          59,54.0,          39,36.0,           7,6.0,         109,502.3,64.7,          62,61.0,Not requiring assistance or intervention,Substantial progress toward targets,60.0,65.0
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      66,      60,      63,      68,      59,       0,       0,       0,       0,       0,       0,       0,       0,       0,     316,      52,  16.5,      28,   8.9,      57,  18.0, , ,     141,  44.6,      95,  30.1,3.2,3.8,9.5,80.7,0.0,0.0,2.8,53.5,46.5,     173,19.4,        321,25.5,100.0,12.4,98.0,100.0,100.0,"     $25,584,999","  $79,828",    320.5,36.0,36.0,100.0,-,-,-,-,"          $63,234,829.14","           3,710.3","              $17,043.05","          $69,007,740.22","           3,868.8","              $17,836.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          68,55.0,          13,10.0,          55,44.0,          43,35.0,          13,10.0,         124,503.7,51.0,          57,56.0,          67,54.0,          17,14.0,          50,40.0,          43,35.0,          14,11.0,         124,502.3,44.7,          58,61.0,Not requiring assistance or intervention,Substantial progress toward targets,52.0,58.0
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,     316,     275,       3,       0,       0,       0,       0,       0,       0,     594,      68,  11.4,      28,   4.7,      98,  16.5, , ,     267,  44.9,     186,  31.3,2.5,2.9,8.6,82.3,0.0,0.0,3.7,48.5,51.5,     442,17.8,        590,49.0,100.0,12.1,92.9,95.9,98.0,"     $25,584,999","  $79,828",    320.5,60.0,60.0,100.0,  10.0,  88.3,   1.7,   0.0,"          $63,234,829.14","           3,710.3","              $17,043.05","          $69,007,740.22","           3,868.8","              $17,836.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         297,51.0,          25,4.0,         272,47.0,         231,40.0,          50,9.0,         578,500.2,49.9,         562,41.0,         315,54.0,          35,6.0,         280,48.0,         224,39.0,          39,7.0,         578,501.0,46.7,         562,55.0,Not requiring assistance or intervention,Moderate progress toward targets,49.0,49.0
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      77,      71,      78,      78,      61,       0,       0,       0,       0,       0,       0,       0,       0,       0,     365,      55,  15.1,      46,  12.6,      45,  12.3, , ,     186,  51.0,     138,  37.8,3.3,4.1,10.1,78.6,0.0,0.0,3.8,50.1,49.9,     226,16.7,        359,31.0,100.0,11.8,96.8,98.4,97.1,"     $25,584,999","  $79,828",    320.5,43.0,43.0,100.0,  16.3,  83.7,   0.0,   0.0,"          $63,234,829.14","           3,710.3","              $17,043.05","          $69,007,740.22","           3,868.8","              $17,836.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          83,62.0,          11,8.0,          72,54.0,          42,31.0,           9,7.0,         134,505.4,48.1,          58,62.0,          85,63.0,          15,11.0,          70,52.0,          43,32.0,           6,4.0,         134,506.1,51.3,          58,74.0,Not requiring assistance or intervention,Meeting or exceeding targets,72.0,76.0
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,       0,      53,      52,      49,      50,      50,      50,      49,      48,      40,       0,       0,       0,       0,       0,     441,     189,  42.9,     107,  24.3,      83,  18.8, , ,     348,  78.9,     273,  61.9,15.9,0.0,59.0,24.3,0.7,0.0,0.2,44.4,55.6,     164,24.7,        439,36.5,52.1,12.1,32.9,89.0,27.0,,,,,,,,,,,"           $7,277,889.00",             440.0,"              $16,541.03","           $7,277,889.00",             440.0,"              $16,541.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         138,49.0,          25,9.0,         113,40.0,         118,42.0,          25,9.0,         281,500.4,37.3,         223,42.0,         153,54.0,          27,10.0,         126,45.0,         111,40.0,          17,6.0,         281,501.2,45.8,         223,56.0,Not requiring assistance or intervention,Moderate progress toward targets,33.0,32.0
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      28,      53,      71,      64,      70,      88,       0,       0,       0,       0,       0,       0,       0,       0,       0,     374,       0,   0.0,       0,   0.0,      72,  19.3, , ,     136,  36.4,      86,  23.0,1.3,0.8,6.7,85.0,0.3,0.3,5.6,53.5,46.5,     153,19.4,        388,26.5,100.0,14.1,93.2,100.0,100.0,"     $13,515,170","  $79,129",    170.8,36.0,36.0,100.0,  58.3,  41.7,   0.0,   0.0,"          $34,107,103.50","           2,044.4","              $16,683.19","          $39,184,044.16","           2,195.9","              $17,844.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         103,67.0,          27,18.0,          76,49.0,          38,25.0,          13,8.0,         154,509.8,53.7,          85,78.0,          93,60.0,          16,10.0,          77,50.0,          44,29.0,          17,11.0,         154,502.9,44.9,          85,63.0,Not requiring assistance or intervention,Substantial progress toward targets,63.0,50.0
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     134,     145,     143,     138,       5,     565,      23,   4.1,       5,   0.9,      74,  13.1, , ,     138,  24.4,      86,  15.2,1.6,1.6,6.4,86.4,0.0,0.0,4.1,51.9,48.1,     363,15.4,        569,45.5,100.0,12.4,82.2,93.4,87.2,"     $13,515,170","  $79,129",    170.8,57.0,57.0,100.0,   0.0,  96.5,   3.5,   0.0,"          $34,107,103.50","           2,044.4","              $16,683.19","          $39,184,044.16","           2,195.9","              $17,844.18",       128,93.8,1.6,0.0,0.0,4.7,0.0,     560,8.0,1.4,122.0,93.0,76.2,0.0,23.8,20.5,32.0,18.9,4.9,18.0,55.8,122.0,122.0,100.0,      99,     149,52.0,44.0,3.0,0.0,0.0,10.0,20.0,55.0,37.0,27.0,20.1,79.9,160.0,569.0,571.0,         275,         195,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Substantial progress toward targets,76.0,74.0
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      12,      10,      14,      15,       0,      51,       0,   0.0,       0,   0.0,      28,  54.9, , ,      41,  80.4,      31,  60.8,3.9,0.0,9.8,80.4,0.0,0.0,5.9,62.7,37.3,      52,10.1,         59,5.6,100.0,9.1,82.1,46.2,57.1,"     $13,515,170","  $79,129",    170.8,9.0,9.0,100.0,-,-,-,-,"          $34,107,103.50","           2,044.4","              $16,683.19","          $39,184,044.16","           2,195.9","              $17,844.18",        14,71.4,14.3,0.0,0.0,14.3,0.0,      51,4.0,7.8,15.0,5.0,33.3,0.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,15.0,15.0,100.0,,,,,,,,,,,,,,,3.0,,,          28,           1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Amesbury: Amesbury Middle,00070013,Public School,Amesbury,MA,01913,"05,06,07,08",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,     162,     151,     166,     165,       0,       0,       0,       0,       0,     644,      27,   4.2,      12,   1.9,     131,  20.3, , ,     230,  35.7,     148,  23.0,2.0,0.8,8.7,84.5,0.0,0.3,3.7,50.8,49.2,     377,15.9,        651,58.3,100.0,11.0,93.1,91.4,96.6,"     $13,515,170","  $79,129",    170.8,66.0,66.0,100.0,  10.6,  86.4,   3.0,   0.0,"          $34,107,103.50","           2,044.4","              $16,683.19","          $39,184,044.16","           2,195.9","              $17,844.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         346,56.0,          49,8.0,         297,48.0,         215,35.0,          53,9.0,         614,500.7,51.9,         603,43.0,         321,53.0,          54,9.0,         267,44.0,         234,39.0,          50,8.0,         605,501.0,61.6,         593,55.0,Not requiring assistance or intervention,Substantial progress toward targets,41.0,56.0
Amesbury: Charles C Cashman Elementary,00070010,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      26,      63,      75,      74,      97,      89,       0,       0,       0,       0,       0,       0,       0,       0,       0,     424,      24,   5.7,      17,   4.0,      98,  23.1, , ,     192,  45.3,     122,  28.8,2.1,1.7,9.2,84.4,0.2,0.0,2.4,54.7,45.3,     189,18.0,        421,35.0,100.0,12.1,91.4,100.0,100.0,"     $13,515,170","  $79,129",    170.8,42.0,41.0,97.6,-,-,-,-,"          $34,107,103.50","           2,044.4","              $16,683.19","          $39,184,044.16","           2,195.9","              $17,844.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          93,53.0,          21,12.0,          72,41.0,          68,38.0,          16,9.0,         177,502.7,60.6,          86,51.0,          79,44.0,           6,3.0,          73,41.0,          68,38.0,          31,17.0,         178,494.3,55.9,          86,29.0,Not requiring assistance or intervention,Substantial progress toward targets,45.0,66.0
Amherst: Crocker Farm Elementary,00080009,Public School,Amherst,MA,01002,"PK,K,01,02,03,04,05,06",Amherst,00080000,Public School District,      48,      63,      40,      43,      53,      53,      62,      32,       0,       0,       0,       0,       0,       0,       0,     394,     120,  30.5,      74,  18.8,      84,  21.3, , ,     190,  48.2,     116,  29.4,9.4,12.9,24.9,43.9,0.5,0.0,8.4,54.6,45.2,     111,19.5,        390,40.3,100.0,9.8,95.0,100.0,100.0,"      $9,665,059","  $78,834",    122.6,54.0,53.0,98.1,  28.3,  71.7,   0.0,   0.0,"          $26,795,465.00","           1,130.9","              $23,693.93","          $28,985,814.33","           1,255.3","              $23,090.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          78,42.0,           9,5.0,          69,37.0,          79,43.0,          28,15.0,         185,494.2,46.0,         131,22.0,          72,39.0,           8,4.0,          64,35.0,          79,43.0,          33,18.0,         184,492.8,59.8,         132,25.0,Requiring assistance or intervention,In need of focused/targeted support,21.0,44.0
Amherst: Fort River Elementary,00080020,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      38,      33,      47,      41,      42,      47,      67,       0,       0,       0,       0,       0,       0,       0,     315,      84,  26.7,      43,  13.7,      79,  25.1, , ,     161,  51.1,     117,  37.1,7.3,15.2,21.6,48.6,0.0,0.0,7.3,50.2,49.8,     111,19.1,        318,38.7,100.0,8.1,85.3,90.4,100.0,"      $9,665,059","  $78,834",    122.6,53.0,52.0,98.1,  15.4,  80.8,   3.8,   0.0,"          $26,795,465.00","           1,130.9","              $23,693.93","          $28,985,814.33","           1,255.3","              $23,090.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         102,56.0,          31,17.0,          71,39.0,          57,31.0,          24,13.0,         183,503.0,46.7,         137,53.0,          99,54.0,          26,14.0,          73,40.0,          57,31.0,          28,15.0,         184,501.0,50.0,         140,55.0,Not requiring assistance or intervention,Substantial progress toward targets,41.0,53.0
Amherst: Wildwood Elementary,00080050,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      59,      60,      53,      61,      56,      66,      67,       0,       0,       0,       0,       0,       0,       0,     422,     140,  33.2,      63,  14.9,      72,  17.1, , ,     204,  48.3,     125,  29.6,9.0,15.2,18.0,48.8,0.2,0.0,8.8,52.6,47.4,     136,19.9,        418,41.6,100.0,10.1,90.4,100.0,93.6,"      $9,665,059","  $78,834",    122.6,54.0,53.0,98.1,  20.8,  77.4,   1.9,   0.0,"          $26,795,465.00","           1,130.9","              $23,693.93","          $28,985,814.33","           1,255.3","              $23,090.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         122,54.0,          23,10.0,          99,44.0,          83,37.0,          20,9.0,         225,504.9,51.5,         153,60.0,         113,50.0,          21,9.0,          92,41.0,          84,37.0,          28,12.0,         225,501.5,52.7,         151,58.0,Not requiring assistance or intervention,Substantial progress toward targets,50.0,54.0
Amherst-Pelham: Amherst Regional High,06050505,Public School,Amherst,MA,01002,"09,10,11,12",Amherst-Pelham,06050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     231,     231,     230,     225,       7,     924,     159,  17.2,      42,   4.5,     186,  20.1, , ,     346,  37.4,     219,  23.7,6.8,9.5,16.0,58.7,0.1,0.1,8.8,49.8,50.0,     631,12.6,        924,70.8,98.6,13.0,92.4,96.6,91.9,"      $9,719,850","  $85,412",    113.8,101.0,97.0,96.0,  43.3,  56.7,   0.0,   0.0,"          $29,757,591.00","           1,334.3","              $22,302.02","          $34,083,650.00","           1,492.6","              $22,835.09",       223,89.2,6.3,0.0,0.4,4.0,0.0,     917,13.0,1.4,208.0,156.0,75.0,0.0,31.7,23.1,20.2,21.6,2.9,13.0,51.9,208.0,65.0,31.3,     119,     173,76.0,33.0,9.0,1.0,0.0,8.0,17.0,50.0,57.0,41.0,14.5,85.5,224.0,604.0,597.0,         454,         351,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Moderate progress toward targets,52.0,43.0
Amherst-Pelham: Amherst Regional Middle School,06050405,Public School,Amherst,MA,01002,"07,08",Amherst-Pelham,06050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     223,     193,       0,       0,       0,       0,       0,     416,      80,  19.2,      41,   9.9,      94,  22.6, , ,     191,  45.9,     111,  26.7,8.9,8.2,18.3,56.3,0.2,0.0,8.2,52.6,47.4,     416,15.9,        427,43.0,100.0,9.7,92.3,93.8,86.8,"      $9,719,850","  $85,412",    113.8,55.0,50.0,90.9,  18.0,  78.0,   2.0,   2.0,"          $29,757,591.00","           1,334.3","              $22,302.02","          $34,083,650.00","           1,492.6","              $22,835.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         209,56.0,          40,11.0,         169,46.0,          95,26.0,          67,18.0,         371,499.6,45.8,         346,39.0,         176,48.0,          50,14.0,         126,34.0,         132,36.0,          61,17.0,         369,497.9,38.9,         344,43.0,Requiring assistance or intervention,In need of focused/targeted support,27.0,19.0
Andover: Andover High,00090505,Public School,Andover,MA,01810,"09,10,11,12",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     426,     460,     430,     445,      29,"   1,790",     191,  10.7,      14,   0.8,     302,  16.9, , ,     411,  23.0,     139,   7.8,2.2,17.5,5.6,72.5,0.1,0.0,2.1,47.3,52.6,"   1,060",15.1,"      1,789",124.2,100.0,14.4,85.6,92.1,90.8,"     $42,583,749","  $86,640",    491.5,167.0,166.0,99.4,  22.9,  74.7,   2.4,   0.0,"         $105,001,180.47","           5,967.5","              $17,595.51","         $113,553,799.47","           6,089.0","              $18,649.01",       445,97.3,2.0,0.0,0.2,0.4,0.0,"   1,761",2.0,0.1,438.0,384.0,87.7,0.0,47.3,7.1,33.3,6.8,4.3,13.2,80.6,438.0,438.0,100.0,     515,     960,210.0,204.0,71.0,23.0,7.0,33.0,157.0,238.0,278.0,254.0,19.8,80.2,534.0,604.0,603.0,         873,         706,80.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Meeting or exceeding targets,87.0,77.0
Andover: Andover West Middle,00090310,Public School,Andover,MA,01810,"06,07,08",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,     171,     174,     177,       0,       0,       0,       0,       0,     522,      69,  13.2,      11,   2.1,      93,  17.8, , ,     149,  28.5,      46,   8.8,2.7,15.1,4.8,73.9,0.2,0.0,3.3,51.3,48.7,     312,17.8,        526,47.2,100.0,11.1,95.8,93.6,94.6,"     $42,583,749","  $86,640",    491.5,63.0,61.0,96.8,  34.4,  65.6,   0.0,   0.0,"         $105,001,180.47","           5,967.5","              $17,595.51","         $113,553,799.47","           6,089.0","              $18,649.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         365,70.0,         108,21.0,         257,50.0,         125,24.0,          28,5.0,         518,511.9,61.5,         495,84.0,         353,68.0,         102,20.0,         251,49.0,         135,26.0,          28,5.0,         516,510.7,51.0,         495,87.0,Not requiring assistance or intervention,Substantial progress toward targets,84.0,70.0
